FIPS,Date,Event,Source
42,4/1/20,Stay-at-home for whole state,https://www.usatoday.com/story/news/nation/2020/03/30/coronavirus-stay-home-shelter-in-place-orders-by-state/5092413002/
44,3/28/20,Stay-at-home,https://www.usatoday.com/story/news/nation/2020/03/30/coronavirus-stay-home-shelter-in-place-orders-by-state/5092413002/
45,4/7/20,Stay-at-home,https://www.usatoday.com/story/news/nation/2020/03/30/coronavirus-stay-home-shelter-in-place-orders-by-state/5092413002/
47,3/30/20,Safer-at-home,https://www.usatoday.com/story/news/nation/2020/03/30/coronavirus-stay-home-shelter-in-place-orders-by-state/5092413002/
48,3/31/20,Stay-at-home in all but name,https://www.usatoday.com/story/news/nation/2020/03/30/coronavirus-stay-home-shelter-in-place-orders-by-state/5092413002/
49,3/27/20,Loose directives,https://www.usatoday.com/story/news/nation/2020/03/30/coronavirus-stay-home-shelter-in-place-orders-by-state/5092413002/
50,3/25/20,Stay-at-home,https://www.usatoday.com/story/news/nation/2020/03/30/coronavirus-stay-home-shelter-in-place-orders-by-state/5092413002/
51,3/30/20,Stay-at-home,https://www.usatoday.com/story/news/nation/2020/03/30/coronavirus-stay-home-shelter-in-place-orders-by-state/5092413002/
53,3/23/20,Stay-at-home,https://www.usatoday.com/story/news/nation/2020/03/30/coronavirus-stay-home-shelter-in-place-orders-by-state/5092413002/
54,3/24/20,Safer-at-home,https://www.usatoday.com/story/news/nation/2020/03/30/coronavirus-stay-home-shelter-in-place-orders-by-state/5092413002/
All,3/13/20,Europe Travel ban,https://nypost.com/2020/03/11/trump-suspends-travel-from-europe-over-coronavirus-fears/
All,3/16/20,UK Travel ban,
26,4/15/20,#OperationGridlock,
25,2/26/20,Biogen Meeting,
All,3/11/20,Sports Shut Down,
55,4/8/20,Primary Election,
12,4/17/20,#FloridaMorons Re-open some beaches, https://www.newsweek.com/florida-beaches-florida-moron-twitter-1498750
